ensembl_peptide_id,tf_gene,entrezgene_id
ENSP00000251020,SALL1,6299
ENSP00000251203,PBX4,80714
ENSP00000251269,ZNF221,7638
ENSP00000251363,CERS4,79603
ENSP00000251808,GRHL2,79977
ENSP00000252207,ZSCAN9,7746
ENSP00000252211,ZKSCAN3,80317
ENSP00000252268,DPF2,5977
ENSP00000252463,ZSCAN10,84891
ENSP00000252713,ZNF655,79027
ENSP00000252797,ZNF764,92595
ENSP00000252818,JUND,3727
ENSP00000252840,ZNF557,79230
ENSP00000252971,MNX1,3110
ENSP00000252979,ZNF337,26152
ENSP00000252997,GATA5,140628
ENSP00000253008,PRDM12,59335
ENSP00000253115,ZNF426,79088
ENSP00000253144,ZNF331,55422
ENSP00000253159,ZNF236,7776
ENSP00000253506,NFATC1,4772
ENSP00000253727,NR1H2,7376
ENSP00000253968,BARX1,56033
ENSP00000254066,RARA,5914
ENSP00000254166,ZNF132,7691
ENSP00000254182,ZNF211,10520
ENSP00000254231,LIN28A,79727
ENSP00000254321,ZNF700,90592
ENSP00000254325,RFX1,5989
ENSP00000254480,SMARCC1,6599
ENSP00000255129,ZNF334,55713
ENSP00000255198,ZBED3,84327
ENSP00000255616,ZNF414,84330
ENSP00000255746,ZNF679,168417
ENSP00000256117,E2F5,1875
ENSP00000256429,MBD2,8932
ENSP00000256495,BHLHE40,8553
ENSP00000257312,DZIP1,22873
ENSP00000257555,HNF1A,6927
ENSP00000257566,TBX3,6926
ENSP00000257567,TBX3,6926
ENSP00000257749,BACH2,60468
ENSP00000257831,EHF,26298
ENSP00000257832,ELF5,2001
ENSP00000257899,RP11-644F5.10,NA
ENSP00000257915,TFCP2,7024
ENSP00000258106,EMX1,2016
ENSP00000258381,SP110,3431
ENSP00000258382,SP110,3431
ENSP00000258387,PAX3,5077
ENSP00000258672,SETDB2,83852
ENSP00000258829,NKX2-8,26257
ENSP00000258963,VEZF1,7716
ENSP00000259021,KAT7,11143
ENSP00000259395,ZNF189,7743
ENSP00000259523,MYC,4609
ENSP00000259622,DMRT2,10655
ENSP00000259803,GCM1,8521
ENSP00000259806,FOXF2,2295
