ensembl_peptide_id,tf_gene,entrezgene_id
ENSMUSP00000019043,Irf1,16362
ENSMUSP00000019117,Hoxb1,15407
ENSMUSP00000019257,Aire,11634
ENSMUSP00000019374,Lhx9,16876
ENSMUSP00000019482,Zfp687,78266
ENSMUSP00000019572,Zfp874b,408067
ENSMUSP00000019660,Zkscan1,74570
ENSMUSP00000019749,Hoxd8,15437
ENSMUSP00000019861,Zfp451,98403
ENSMUSP00000019924,Hey2,15214
ENSMUSP00000019938,Nr2e1,21907
ENSMUSP00000019997,Tnfaip3,21929
ENSMUSP00000020071,Sim1,20464
ENSMUSP00000020158,Myb,17863
ENSMUSP00000020243,Ascl1,17172
ENSMUSP00000020377,Tcf3,21423
ENSMUSP00000020379,Tcf3,21423
ENSMUSP00000020628,Zfp354a,21408
ENSMUSP00000020846,Srebf1,20787
ENSMUSP00000020908,E2f6,50496
ENSMUSP00000020974,Id2,15902
ENSMUSP00000020982,Klf11,194655
ENSMUSP00000020985,Grhl1,195733
ENSMUSP00000021009,Myt1l,17933
ENSMUSP00000021016,Hnf1b,21410
ENSMUSP00000021241,Dlx4,13394
ENSMUSP00000021333,Foxg1,15228
ENSMUSP00000021513,Gsc,14836
ENSMUSP00000021519,Six6,20476
ENSMUSP00000021530,Hif1a,15251
ENSMUSP00000021641,Tshz3,243931
ENSMUSP00000021665,Vsx2,12677
ENSMUSP00000021674,Fos,14281
ENSMUSP00000021680,Esrrb,26380
ENSMUSP00000021692,Yy1,22632
ENSMUSP00000021784,Irf4,16364
ENSMUSP00000021787,Tfap2a,21418
ENSMUSP00000021791,Gcm2,107889
ENSMUSP00000021810,Id4,15904
ENSMUSP00000021813,Barx1,12022
ENSMUSP00000021922,Msx2,17702
ENSMUSP00000021941,Mxd3,17121
ENSMUSP00000021968,Pitx1,18740
ENSMUSP00000021997,Rsl1,380855
ENSMUSP00000022059,Ahrr,11624
ENSMUSP00000022095,Irx4,50916
ENSMUSP00000022195,Otp,18420
ENSMUSP00000022262,Fezf2,54713
ENSMUSP00000022303,Thrb,21834
ENSMUSP00000022304,Thrb,21834
ENSMUSP00000022344,Ecd,70601
ENSMUSP00000022544,Hmbox1,219150
ENSMUSP00000022586,Nufip1,27275
ENSMUSP00000022646,Nkx3-1,18095
ENSMUSP00000022895,Grhl2,252973
ENSMUSP00000022952,Osr2,107587
ENSMUSP00000022971,Myc,17869
ENSMUSP00000023024,Tef,21685
ENSMUSP00000023100,Srebf2,20788
ENSMUSP00000023119,Vdr,22337
ENSMUSP00000023151,Bcl6,12053
ENSMUSP00000023165,Crebbp,12914
ENSMUSP00000023171,Hes1,15205
ENSMUSP00000023176,Zfp263,74120
ENSMUSP00000023179,Zfp7,223669
ENSMUSP00000023356,Snai2,20583
ENSMUSP00000023504,Nr1i2,18171
ENSMUSP00000023612,Ets2,23872
ENSMUSP00000023673,Runx1,12394
ENSMUSP00000023722,Zfp641,239652
ENSMUSP00000023762,Cers5,71949
ENSMUSP00000023769,Atf1,11908
ENSMUSP00000023779,Nr4a1,15370
ENSMUSP00000024104,Gcm1,14531
ENSMUSP00000024159,Dlx2,13392
ENSMUSP00000024179,Nfatc4,73181
ENSMUSP00000024233,Tulp2,56734
ENSMUSP00000024543,Hes7,84653
ENSMUSP00000024727,Cdc5l,71702
ENSMUSP00000024786,Tfeb,21425
ENSMUSP00000024947,Six2,20472
ENSMUSP00000024954,Epas1,13819
ENSMUSP00000025014,Mrpl28,68611
ENSMUSP00000025054,Spdef,30051
ENSMUSP00000025069,Crem,12916
ENSMUSP00000025081,Zeb1,21417
ENSMUSP00000025271,Pou5f1,18999
ENSMUSP00000025288,Zfp521,225207
ENSMUSP00000025300,Nr3c1,14815
ENSMUSP00000025374,Pou4f3,18998
ENSMUSP00000025393,Smad4,17128
ENSMUSP00000025396,Rax,19434
ENSMUSP00000025453,Smad2,17126
ENSMUSP00000025521,Cdx1,12590
ENSMUSP00000025659,Zfand5,22682
